DW_CATEGORIA;id_categoria;id_subcategoria;ds_categoria;ds_subcategoria
e28705b476abc71436db55b1478659f1f18a4e11863739611e17be50bb975c49;25;3237;Categoria - 025;Sub-categoria - 03237
2cedf30a0905f53a42516352a292111d27e5a5bae5e8ab89bd6553a8dfd59254;41;2757;Categoria - 041;Sub-categoria - 02757
68fe5d15cdbdd05af70900f50c81619cd5c542f0914bd4c95b959fcb80eaa786;17;1120;Categoria - 017;Sub-categoria - 01120
c2395290629175efb6b9c3db2d8a840f25f3d4b6dad2228efce7f5545b5f705f;11;1034;Categoria - 011;Sub-categoria - 01034
3a662cea6e8c4df69d5a75df0033247e7a54894ac921a768ee53053fee245604;27;1370;Categoria - 027;Sub-categoria - 01370
45d88edd15e6c61f56df524d89aed2b339d0a60b5708b8965d5b8384c0438945;34;2518;Categoria - 034;Sub-categoria - 02518
9212f5ca32ec8858a1a939660733b5934c6c8d396b8e0249da608d6cd13a0923;4;1889;Categoria - 004;Sub-categoria - 01889
f40e173402daf69cb637513f3baf47442d376f3f1cfb9aabd9b7929d0f7735d9;29;2938;Categoria - 029;Sub-categoria - 02938
4fc8eebd3db3011ed3b4eb95695144648e1db2aac7b53d9d05a8c7893a1f7574;24;2394;Categoria - 024;Sub-categoria - 02394
6318f8544f9d36ea2590ffb179807d26af6c93eeee1eb8275f1a41110791ac1b;18;645;Categoria - 018;Sub-categoria - 00645
9169697ce307eb06eada543a7c647e2023635e7190d6324ea2eb55488df51b03;35;1618;Categoria - 035;Sub-categoria - 01618
96740f07b3c104824e0d73ab6dafe5ca967cede90820a0040b693fc13cec83c8;24;1411;Categoria - 024;Sub-categoria - 01411
185882953991515746b63185f8e3fc24167edc28a837d791423dd6c50aa65d33;35;127;Categoria - 035;Sub-categoria - 00127
eebb8d5adf46c114b38765d172655daf10e82265b20ad545e5ebf244d57d0e63;14;3331;Categoria - 014;Sub-categoria - 03331
5aa74f4886cd8a26818c4167044bb24f33eeb2f96d71cb67e951272b028144e9;9;769;Categoria - 009;Sub-categoria - 00769
513eb3d6347a5a71884f41162b9da9696febd9201d734b05eaadb0a03f1359f7;6;86;Categoria - 006;Sub-categoria - 00086
e8612622d0f7f1c4cd1fb2878ab45dad865194e0705e306497ed35ca7d629fc5;19;1790;Categoria - 019;Sub-categoria - 01790
