DW_LOCALIDADE;id_estado;id_cidade;ds_estado;ds_cidade
10d7aab7024856051c99f4df6e733af448be23c8ea60b35ed47766caf45dcc39;25;35;RN;ACU
3c28a71c05bfdbd1c5be0754db7336086766c98aad982bcbf10790f5227899e1;22;148;PR;ALMIRANTE TAMANDARE
8e8a6d866a48d78b3aec84cc2c3b6831442570bf4150defdf9dbc6014aa216bb;19;628;PB;BANANEIRAS
c3346ee098c5c01304e43dc443c64385bc4393c5747a76a39cf53c659438bb23;33;738;SP;BASTOS
79626ed41ac21b8df68a4cebbb16f77fcc7dd43116cdcfcc59b27273c7f0f3b3;14;40;MG;ADAO COLARES (BOTUMIRIM)
fb97c1d2f02ce96be9c0f602fe44cd3f92c692078817e964d00ad866f1c50c06;33;6998;SP;TAUBATE
3908cf6d1b14ddb1f1efaea3a2f8bd463ed8fe6c8962f3ddd760b8c206b814da;7;753;CE;BELA CRUZ
b8c84c250728c6bbb8cc1fe23b00ed5463eeb921333ad66c9bb969e56ce3ee69;28;900;RS;BOM RETIRO DO SUL
1303fe2fbf8e86353360030dc9149e29a65047e6c1fa76db33a55de137ac1bf3;33;1179;SP;CAIEIRAS
fb1b5e2fb7741c398bafe99293a6c71a3d0b5d293346958f6253ab507f804641;28;7533;RS;XANGRI-LA
1b7c946f85b6e753eab00c74d1d891ccb9d723f8133c54f4624bab1c843deed8;22;198;PR;ALTONIA
5e309cce627f983e78ad3e01f67c9e1d700de421137f0a02e00765f7210e9e70;16;178;MT;ALTO GARCAS
e2d1fdd9be4b2ce53484fac2d803cfb02476eebea7ecd917e6263d8c0d1fb511;33;611;SP;BALBINOS
07e1703b831be5265efd27e59b2d926a3699ba90dd2e3d06847407bca0b961bd;20;720;PE;BARREIROS
655ff501c08116bacfc16123626bc4bfa44c71f26a849210ba6e0c0181c62080;24;1207;RJ;CALIFORNIA DA BARRA (BARRA DO
5eec09795e35306165bbc1f84b3b576088b11bd7777d3f644773934a22bc94b4;7;5958;CE;SANTA QUITERIA
0c5fde855dc6a08363802f5b94e3f1ba765318ecf3db0b2511c4adb1733083ce;11;130;GO;ALEXANIA
399c8fad76eb4ee4b1239f1f11eee76593e5008564d60760e66e54f2ea9b1060;16;680;MT;BARRA DO BUGRES
3eb53de330b21c7445cdc0cdf78be171f3098a1b28237337f3040483de7450e6;6;665;BA;BARRA
fafbb3535f419e8cf918fcf0880023e5113610aabd5fff524f379d1f6340439c;10;48;ES;AFONSO CLAUDIO
13331855e7fbd97dfe12b65da43d988b0d1c5951a7aab38ffaf42032f0cf3cc9;31;1879;SC;CURITIBANOS
33d6d155e6af24105b09558f4d8debb73187f445900fd16e52d956c0386fe6ef;20;1143;PE;CACHOEIRINHA
bad4c05d01f8d115fb12d798aedee667f0be94e36199a0e4c88a3fb3315a1cc2;20;425;PE;ARCOVERDE
0c24bfd85c0f764ff347dd139d7cbf8d62fe53b74ad5d1971b8d0403eb09b2d0;24;771;RJ;BELFORD ROXO
4705b36b21dd195a1caba72f4a36c2f486bb5d86614046ed238c71f1ad227b82;24;3847;RJ;MAGE
3c4be82da6d3c8af7cf983813da3aaea4acf12153684dd3b5c54c5e75bf58c67;10;364;ES;ARACUI
e7c639f9ccd5f235ddaaa6e84250c99007685d1951ed274b308c8b8198da0bf2;13;63;MA;AGUA DOCE DO MARANHAO
6521fa509f5f279ba8904bddeba3648c5839901d5e8b7d22c79b8aedd08acc45;33;204;SP;ALVARES MACHADO
dbbb1119ac4341828107abb56fa95717f483211efabfd4af060c24529904f9c8;8;5936;DF;SANTA MARIA
7a7cf3b93b235b9761eb3f3ed87cda60e03ff79a337387a8aad8fdcb6233d3b6;31;1114;SC;CACADOR
35aa20ee5eeb7f5a2ab1f8968227e67aafd6f17ba0573688b450626ead4f8ada;24;2160;RJ;DUQUE DE CAXIAS
8a00e23d7376b96bc87989ee6f208b32ec275fd0a766fd0b1cf00001e1c3b555;33;483;SP;ASSIS
3728f999b67739a4a13b3c38f170c22bed62136c77afb9a8c558b40fd5c8ba40;28;1532;RS;CAXIAS DO SUL
b6a30340e0581a2d3ecbb32c6bb04f726f738ba7dd1d536c42e694f2ff1f1f86;19;1246;PB;CAMPINA GRANDE
478841fbdc335464b46ba60793518b9ef72410f6e91f372f4cb0389fcf2bc3ba;21;832;PI;BOA HORA
898e54346b691bee69f080dc135f89d1bcbf4a16b5bbc7be1525ba1fcd4e5739;8;960;DF;BRASILIA
8753a697f7eb9fb460720ba69012fa38d10c36fc23ea075d268455e03f630df9;31;6167;SC;SAO CARLOS
b2353c718b1efcf2dbdda3357f9d5a700384ebac3c3a59260713bfffe84083bc;19;655;PB;BARAUNA
7ed9abbe18720235e0166cfb2067b98de5bd95fe7936dbeea16fd2c60f94fed4;25;1177;RN;CAICARA DO RIO DO VENTO
0ec0ecdd3a27ba3fed956f7c55720fa44fae0babc035fe9619739c6ce7c70d5f;25;3810;RN;MACAIBA
b070fdeef26ae0d369acae171eca1c228bdae1587373a0c6bf72e91f05c26476;14;1755;MG;CORONEL FABRICIANO
232efb444c1362487669df80d8057031249d2a8c26f707593f83d348d9de26c6;7;752;CE;BEBERIBE
14b7f0eccd7ab8e11e93af3ef99070476aa4eb29f92ad47ccd8cd11c72bec187;31;400;SC;ARAQUARI
e43b937e156db24e7e93df9f739b2dbc0720f5985c6bdead1156babbdbc66900;13;168;MA;ALTO ALEGRE DO MARANHAO
426df8c38484aea48b695dcb4e3c429702a484987c0b5f0f9da936c4637f1875;6;11;BA;ABAIRA
04706dac3b83d5ce24279a69b32013f21e7727193eef84125fd988f7ccda54fb;20;576;PE;Arcoverde
6a3be7d31d5b8878f2ba29608305e60b04e9febbaba5e3abe49f73cea4699e8f;14;1898;MG;CURVELO
c25e3f82cc10352c915b929de3f483ffaaf7db911ba9a0a9ec141a318e06d9ab;21;1430;PI;CARIDADE DO PIAUI
5e2f39ec51a79d1bb54130b0d31d9ee9ba80fc296ba949cd1ff1df081ba4a9c7;14;4;MG;ABADIA DOS DOURADOS
10889fa99f286c25db54bc232876738c487bee675dcd4a29b74623e622c5267a;25;330;RN;APODI
e08f40114c4911ecaba178434225be5046a059b763f6771f84f4d17d38dfe783;22;4732;PR;PAICANDU
32d95577e55ad91cf865e0aa08cba57422f666c39721a970df615208d96d828c;19;1104;PB;CABEDELO
21a111910b1dbb9d8e9d0162578f0224c57d34fc4b49530d01758fc991a9cf0c;19;1096;PB;CAAPORA
9cec862bbc7dcca222f00baff2ebd308ef35dee625a65d047eb7869ead05bfa1;4;3878;AM;MANAUS
82d196a2ddcd0183948fbaa5f47df60dabf6fc7433e59944ed278bbe2761b7fc;22;167;PR;ALTO ALEGRE (COLORADO)
4bc13da5e15a4e65331e4d8edaef7b2e73b088fd2e40ab65190fd7a3b6af5432;33;700;SP;BARRA DO TURVO
